Gross domestic product (GDP) at current market prices by metropolitan regions [met_10r_3gdp],,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Last update,18.06.19,,,,,,,,,,,,,,,,,
Extracted on,11.01.20,,,,,,,,,,,,,,,,,
Source of data,Eurostat,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
UNIT,Million euro,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
METROREG/TIME,2000 - 2000,2001 - 2001,2002 - 2002,2003 - 2003,2004 - 2004,2005 - 2005,2006 - 2006,2007 - 2007,2008 - 2008,2009 - 2009,2010 - 2010,2011 - 2011,2012 - 2012,2013 - 2013,2014 - 2014,2015 - 2015,2016 - 2016,2017 - 2017
Lübeck,"9,374.62","9,580.39","9,755.03","9,865.14","9,572.41","9,649.39","9,898.06","10,238.30","10,295.71","10,077.45","10,437.62","10,847.88","11,537.16","11,877.85","12,576","12,621","13,296",:
Kassel,"11,978.44","12,110.37","12,469.02","13,118.78","12,923.03","12,784.12","13,391.64","13,701.41","13,889.72","13,204.23","13,771.37","14,236.80","14,247.45","14,649.32","15,530","15,906","17,708",:
Osnabrück,"12,565.44","12,498.26","12,708.89","12,865.08","13,346.39","13,434.32","14,089.05","14,835.01","15,159.36","13,783.80","14,784.97","15,736.18","15,790.63","16,397.51","17,015","17,841","18,287",:
Oldenburg (Oldenburg),"9,240.19","9,571.58","9,691.32","9,351.84","9,755.78","9,730.20","10,192.48","10,844.30","10,936.87","11,139.94","11,229.05","11,736.05","11,972.34","12,219.34","12,619","13,064","13,598",:
Heidelberg,"17,632.17","18,647.19","18,963.33","18,544.13","18,510.35","19,095.81","20,198.91","21,212.37","21,885.50","21,654.59","22,489.56","23,381.02","23,299.41","23,870.98","24,608","25,373","26,323",:
Paderborn,"6,855.02","6,881.08","6,994.22","6,915.99","7,265.68","7,431.71","7,862.48","8,663.61","8,850.17","8,431.34","8,585.62","8,855.54","9,239.49","9,502.94","10,108","10,183","10,788",:
Würzburg,"12,790.62","13,344.43","13,509.19","13,521.76","13,763.68","14,077.15","14,351.96","15,024.92","15,335.57","14,695.62","15,723.73","16,561.72","16,869.71","17,315","17,999","18,602","19,225",:
Bremerhaven,"5,924.67","6,015.71","6,007.07","6,263.40","6,270.81","6,459.77","6,729.15","6,927.85","6,951.15","7,036.42","7,235.77","7,454","7,698.82","7,656.22","8,091","8,154","8,260",:
Heilbronn,"13,880.52","14,411.47","14,162.31","14,054.21","14,325.64","14,865.50","16,249.94","16,906.65","17,407.57","16,519.75","17,586.84","18,841.43","20,003.16","20,852.01","21,478","22,568","22,629",:
Ulm,"13,426.89","13,797.09","13,642.26","13,903.24","14,410.82","14,914.16","15,706.15","16,996.62","17,289.16","16,223.39","17,329.19","18,247.89","18,188.35","18,931.04","19,410","20,326","21,273",:
Pforzheim,"7,430.66","7,505.91","7,552.83","7,593.70","7,881.53","8,180.01","8,467.60","8,716.11","8,753.52","8,066.68","8,921.50","9,422.75","9,763.33","10,072.92","10,227","10,596","10,749",:
